manifold,surface,monodromy,dilatation,polynomial coefficients,singularity orders,puncture orders,primitive,abelian
10_140,S_2_1,abbCDf,1.88320350591,"[1, -2, 1, -2, 1]","[1, 3, 3, 3, 3, 3]",[1],True,False
10_145,S_2_1,aabAcf,2.36920540709,"[1, -1, -3, -1, 1]",[6],[6],True,True
11n1,S_2_1,aBcdFF,5.14308131424,"[1, -7, 10, -4, 10, -7, 1]","[3, 3, 3, 3]",[3],True,False
11n12,S_2_1,abCDCF,2.96557263399,"[1, -3, 1, -3, 1]","[2, 3, 3, 4]",[2],True,False
11n28,S_2_1,abCDFF,3.62468590098,"[1, -3, 0, -8, 0, -3, 1]","[2, 3, 3, 3, 3]",[2],True,False
11n38,S_2_1,abacdF,1.91649826367,"[1, -1, -1, -1, 0, -1, -1, -1, 1]","[1, 3, 3, 3, 3, 3]",[1],True,False
11n49,S_2_1,abbcdF,2.36920540709,"[1, -1, -3, -1, 1]","[1, 3, 3, 3, 3, 3]",[1],True,False
11n74,S_2_1,aaBACBaadf,4.13015994972,"[1, -3, -4, -3, 1]","[2, 3, 3, 3, 3]",[2],True,False
11n91,S_2_1,aBBcdF,6.16584758545,"[1, -8, 12, -6, 12, -8, 1]","[3, 3, 3, 3]",[3],True,False
11n102,S_2_1,aabACf,2.75146476231,"[1, -3, 2, -4, 2, -3, 1]","[2, 3, 3, 3, 3]",[2],True,False
11n113,S_2_1,aBcBdF,7.1678944427,"[1, -9, 14, -8, 14, -9, 1]","[3, 3, 3, 3]",[3],True,False
11n116,S_2_1,abAbcdF,2.61803398875,"[1, -3, 1]","[1, 3, 3, 3, 3, 3]",[1],True,False
